"","SRR23426222","SRR23426221","SRR23426220","SRR23426219","SRR23426218","SRR23426217","SRR23426216","SRR23426214","SRR23426213","SRR23426212","SRR23426215","SRR23426211","SRR23426210","SRR23426209","SRR23426208"
"CAETHG_RS13935",5.5379050002017,1.85259072947487,10.6087716997036,1.68379776018845,1.41552503120326,3.29734953004905,3.58678637823875,7.09787773461455,5.80619917306363,5.65833593268599,2.9152584318497,0,1.53854335160174,3.26281236617094,1.00860064160558
"CAETHG_RS13940",2.21516200008068,1.85259072947487,7.95657877477767,5.05139328056535,3.30289173947427,1.64867476502453,8.36916821589042,7.09787773461455,5.80619917306363,5.65833593268599,3.88701124246626,9.06053622298754,4.61563005480522,3.26281236617094,4.03440256642234
"CAETHG_RS13945",2917.36835410626,5096.47709678536,5314.99462155149,3065.35382242308,600.654454907249,1879.48923212796,1502.86349248204,23535.3795883594,2778.84692422825,3584.55581335657,2458.53461085991,2208.50570435321,7370.39192584814,5213.97416114116,4065.66918631211
"CAETHG_RS13950",0,1.85259072947487,0,1.68379776018845,1.88736670827101,3.29734953004905,2.39119091882583,3.54893886730727,1.16123983461273,0,3.88701124246626,1.13256702787344,3.84635837900435,3.26281236617094,4.03440256642234
"CAETHG_RS13955",3.32274300012102,1.85259072947487,3.97828938738884,1.68379776018845,4.24657509360977,0.824337382512263,9.56476367530334,8.28085735705031,0,2.82916796634299,8.74577529554909,4.53026811149377,5.38490173060609,4.35041648822792,3.02580192481675
"CAETHG_RS14160",6015.27241121909,17614.432655847,12657.5907342088,6422.84655623885,22045.8586776366,14853.7352954885,2715.19728832673,21243.9480597013,10985.3288354364,8254.09754180569,22893.5244653157,33589.6729126705,8235.82256112412,3025.71466756252,3583.55807962464
"CAETHG_RS14415",97.46712800355,77.8088106379444,91.5006559099432,80.8222924890457,76.9101933620436,70.8930148960546,74.1269184836009,92.2724105499891,124.252662303562,93.3625428893188,93.2882698191903,110.991568731597,86.1584276896975,36.9785401499373,31.2666198897731
"CAETHG_RS14810",93074.46175739,83079.4312633004,88568.6566314377,49939.7577694293,58770.711928851,51823.6182263984,76342.356869893,96822.1501778771,114487.796534303,91406.1732405926,76776.2460611937,76913.7594299133,53413.6095375576,64952.8057733649,75360.6227394861
"CAETHG_RS18175",4.43032400016136,5.5577721884246,6.63048231231473,20.2055731222614,16.0426170203036,26.3787962403924,17.9339318911938,8.28085735705031,22.0635568576418,21.2187597475725,13.6045393486319,19.2536394738485,16.9239768676191,14.1388535867407,7.06020449123909
"CAETHG_RS18180",627.998427022873,808.65585341578,506.568848660845,393.166777004003,231.202421763199,482.237368769674,902.674571856752,468.45993048456,869.768636124931,926.552508977331,532.520540217878,394.133325699958,349.249340813595,528.575603319692,528.506736201326
"CAETHG_RS18185",51940.0109968918,50392.3204324459,64153.8946610324,41395.326035353,22471.9317120288,47261.7351515756,55094.2343652066,38756.7783902403,61364.5578202749,81303.2144327818,50475.7562418563,45113.5424212828,35233.4120233557,60620.8785552119,46944.3082628903
"CAETHG_RS18190",4.43032400016136,4.63147682368717,0,4.20949440047113,3.30289173947427,6.5946990600981,3.58678637823875,15.3787350916649,5.80619917306363,5.65833593268599,0.971752810616566,0,7.6927167580087,1.08760412205698,8.06880513284468
